category,name,image_url,description,price,url
Laptop,"Lenovo ThinkPad X1 Carbon Gen 13 Aura Edition Intel Core Ultra 7 258V  Intel Arc Graphics 14"" Laptop275000৳Add to CartCompare",https://adminapi.vertech.com.bd/storage/media/medium/Lenovo-ThinkPad-X1-Carbon-Gen-12--a-3429.jpg,,275000৳,https://www.vertech.com.bd//product/lenovo-thinkpad-x1-carbon-gen-13-aura-edition-intel-core-ultra-7-258v-laptop
Laptop,"Lenovo Legion 5 16IRX9 Intel Core i7 13650HX NVIDIA GeForce RTX 4060 with 8GB Graphics 16"" Gaming Laptop164990৳179000৳Add to CartCompare",https://adminapi.vertech.com.bd/storage/media/medium/Lenovo-Legion-Pro-7-16IRX9H-a-3670.jpg,,164990৳,https://www.vertech.com.bd//product/lenovo-legion-5-16irx9-intel-core-i7-gaming-laptop
Laptop,Lenovo IdeaPad Slim 3 15IRH8 13th Gen Intel Core i5-13420H Integrated Intel UHD Graphics 15.6” FHD Laptop56000৳71000৳Add to CartCompare,https://adminapi.vertech.com.bd/storage/media/medium/Lenovo-IdeaPad-Slim-3-15IRH8-a-7824.jpg,,56000৳,https://www.vertech.com.bd//product/lenovo-ideapad-slim-3-13th-gen-intel-core-i5-fhd-laptop
Laptop,"Lenovo IdeaPad Slim 3 15IRH8 13th Gen Intel Core i7-13620H Intel UHD Graphics 15.6"" FHD Laptop70000৳82000৳Add to CartCompare",https://adminapi.vertech.com.bd/storage/media/medium/Lenovo-IdeaPad-Slim-3-15IRH8-a-7824.jpg,,70000৳,https://www.vertech.com.bd//product/lenovo-ideapad-slim-3-i7-13620h-fhd-laptop
Laptop,"ASUS VivoBook 15 R1502VA Intel Core i5 13420H Intel UHD Graphics 15.6"" FHD Laptop68000৳79000৳Add to CartCompare",https://adminapi.vertech.com.bd/storage/media/medium/Asus-Vivobook-15-X1504Z-1737.jpg,,68000৳,https://www.vertech.com.bd//product/asus-vivobook-15-r1502va-laptop
Laptop,"HP 250 G10 i5 1334U 13th gen Integrated Intel UHD Graphics 15.6"" FHD Laptop63990৳78000৳Add to CartCompare",https://adminapi.vertech.com.bd/storage/media/medium/HP-250-G10-7653.jpg,,63990৳,https://www.vertech.com.bd//product/hp-250-g10-i5-1334u-13th-gen-fhd-laptop
Laptop,"Asus Vivobook R1502VA-BQ1028 Intel Core i7-13620H Intel UHD Graphics 15.6"" FHD Laptop85990৳95990৳Add to CartCompare",https://adminapi.vertech.com.bd/storage/media/medium/Asus-Vivobook-15-X1504VA-a-8290.jpg,,85990৳,https://www.vertech.com.bd//product/asus-vivobook-r1502va-bq1028-fhd-laptop
Laptop,"HP 15-fc0029nq AMD Ryzen 3 7320U Integrated AMD Radeon Graphics 15.6"" HD Laptop46500৳58000৳Add to CartCompare",https://adminapi.vertech.com.bd/storage/media/medium/HP-15-fc0029nq-3231.jpg,,46500৳,https://www.vertech.com.bd//product/hp-15-fc0029nq-amd-ryzen-3-7320u-hd-laptop
Laptop,"Lenovo LOQ 15IRX9 13th Gen Intel Core i7-13650HX NVIDIA RTX 4050 Graphics 15.6"" FHD Gaming Laptop129990৳164000৳Add to CartCompare",https://adminapi.vertech.com.bd/storage/media/medium/Lenovo-LOQ-a-3990.jpg,,129990৳,https://www.vertech.com.bd//product/lenovo-loq-15irx9-13th-gen-intel-core-i7-rtx-4050-graphics-fhd-gaming-laptop
Laptop,"Lenovo IdeaPad Slim 3 15IRH10 Intel Core i5-13420H Intel Integrated UHD Graphics 15.3"" Laptop64500৳78000৳Add to CartCompare",https://adminapi.vertech.com.bd/storage/media/medium/Lenovo-IdeaPad-Slim-3-15IRH10-a-7340.jpg,,64500৳,https://www.vertech.com.bd//product/lenovo-ideapad-slim-3-15irh10-laptop
Laptop,"Lenovo LOQ 15ARP9 AMD Ryzen 5-7235HS NVIDIA GeForce RTX 4050 With 6GB Graphics 15.6"" Gaming Laptop110000৳126000৳Add to CartCompare",https://adminapi.vertech.com.bd/storage/media/medium/Lenovo-LOQ-15-15IAX9E-Intel-Core-i5-12450HX-NVIDIA-GeForce-RTX-2050-With-4GB-Graphic-15.6-Gaming-Laptop-a-1271.jpg,,110000৳,https://www.vertech.com.bd//product/lenovo-loq-15arp9-gaming-laptop
Laptop,"Lenovo IdeaPad 1 15AMN7  AMD Ryzen 5 7520U  Integrated Graphics 15.6"" Laptop48000৳55000৳Add to CartCompare",https://adminapi.vertech.com.bd/storage/media/medium/a-5005.jpg,,48000৳,https://www.vertech.com.bd//product/lenovo-ideapad-s100-15amn7-amd-laptop
Laptop,"HP Victus 15-FA2701WM Intel Core i5-13420H NVIDIA GeForce RTX 4050 With 6GB Graphics 15.6"" Gaming Laptop100000৳117000৳Add to CartCompare",https://adminapi.vertech.com.bd/storage/media/medium/HP-Victus-16-Ryzen-5-7640HS-a-1710.jpg,,100000৳,https://www.vertech.com.bd//product/hp-victus-15-fa2701wm-gaming-laptop
Laptop,HP Victus 15-FA2013DX Intel Core i5-13420H RTX™ 3050 6GB GDDR6 Graphics 15.6″ FHD Gaming Laptop85990৳105000৳Add to CartCompare,https://adminapi.vertech.com.bd/storage/media/medium/HP-Victus-16-Ryzen-5-7640HS-a-1710.jpg,,85990৳,https://www.vertech.com.bd//product/hp-victus-15-fa2013dx-gaming-laptop
Laptop,"Asus Zenbook 14 UX3405CA Intel Core Ultra 9-285H Intel Arc Graphics 14"" Touch Laptop175000৳Add to CartCompare",https://adminapi.vertech.com.bd/storage/media/medium/Asus-Zenbook-14-UX3405CA-a-8487.jpg,,175000৳,https://www.vertech.com.bd//product/asus-zenbook-14-ux3405ca-intel-core-ultra-9-285h-touch-laptop
Laptop,"ASUS TUF Gaming A15 FA506NCG AMD Ryzen 7-7445HS NVIDIA GeForce RTX 3050 With 4GB Graphic 15.6"" Gaming Laptop102000৳120000৳Add to CartCompare",https://adminapi.vertech.com.bd/storage/media/medium/ASUS-TUF-Gaming-A15-FA507U-e-5393.jpg,,102000৳,https://www.vertech.com.bd//product/asus-tuf-gaming-fa506ncg-gaming-laptop
Laptop,"HP Notebook 255 G10 AMD Ryzen 5-7520U AMD Radeon Graphics 15.6"" FHD Laptop53990৳67000৳Add to CartCompare",https://adminapi.vertech.com.bd/storage/media/medium/HP-250-G10-7653.jpg,,53990৳,https://www.vertech.com.bd//product/hp-notebook-255-g10-amd-ryzen-5-7520u-laptop
Laptop,"MSI Katana 15 HX B14WGK Intel Core i7-14650HX NVIDIA GeForce RTX 5070 With 8GB Graphics 15.6"" Gaming Laptop214990৳256000৳Add to CartCompare",https://adminapi.vertech.com.bd/storage/media/medium/MSI-Katana-15-B12VGK-Core-i7-12th-Gen-RTX-4070-8GB-Graphics-15.6-FHD-Gaming-Laptop-(5)-7307.jpg,,214990৳,https://www.vertech.com.bd//product/msi-katana-15-hx-b14wgk-gaming-laptop
