name,image_url,description,price,url
Dell 16GB DDR4 3200MT/s RDIMM Dual Rank ECC Server Ram for R740 or R750XS Server (3 year)<br> Product Id: 03.03.013.18,https://www.ryans.com/storage/products/small/dell-16gb-ddr4-3200mts-rdimm-dual-rank-ecc-11707128382.webp,"[{'feature': 'Capacity (GB/TB) - 16GB'}, {'feature': 'RAM Type - DDR4 Server RAM'}, {'feature': 'Bus Speed(MHz) - 3200MHz'}, {'feature': 'Number of Pin - 288 Pin'}, {'feature': 'CAS Latency - Unmentioned'}, {'feature': 'LED Lighting - No'}, {'feature': 'Color - Green'}]","Tk
                                                    20,000                                                     (Estimated)",https://www.ryans.com/dell-16gb-ddr4-3200mt-s-rdimm-dual-rank-ecc-server-ram-for-r740-server-3-year
Colorful CVN B760I FROZEN V20 (Wi-Fi 6) DDR4 Motherboard<br> Product Id: 02.01.100.08,https://www.ryans.com/storage/products/small/colorful-cvn-b760i-frozen-v20-wi-fi-6-ddr4-11697548501.webp,"[{'feature': 'Chipset - Intel B760'}, {'feature': 'Sockets Supported - LGA1700'}, {'feature': 'Supported CPU - Support the 13th/14th and 12th Gen Intel Processor, Pentium Processor'}, {'feature': 'Generation - 12th/13th/14th'}, {'feature': 'Memory Slot - 2'}, {'feature': 'Memory Max. - 64GB'}, {'feature': 'Back-Connect Design - No'}, {'feature': 'Body Color - Black & White'}]","Tk
                                                    20,000",https://www.ryans.com/colorful-cvn-b760i-frozen-v20-wi-fi-6-ddr4-motherboard
Gigabyte B760M GAMING X GEN5 (Wi-Fi 6E) DDR5 Gaming Motherboard #B760M G X WF6E GEN5 / B760M Gaming X WF6E GEN5<br> Product Id: 02.01.018.588,https://www.ryans.com/storage/products/small/gigabyte-b760m-gaming-x-gen5-wi-fi-6e-ddr5-11752670354.webp,"[{'feature': 'Chipset - Intel B760'}, {'feature': 'Sockets Supported - LGA1700'}, {'feature': 'Supported CPU - 14th, 13th, and 12th Generation Intel Core, Pentium Gold and Celeron Processors'}, {'feature': 'Generation - 12th/13th/14th'}, {'feature': 'Memory Slot - 4'}, {'feature': 'Memory Max. - 256GB'}, {'feature': 'Back-Connect Design - No'}, {'feature': 'Body Color - Black'}]","Tk
                                                    20,000",https://www.ryans.com/gigabyte-b760m-gaming-x-gen5-wi-fi-6e-ddr5-gaming-motherboard
Gigabyte Intel Arc A380 GAMING OC 6G 6GB GDDR6 Graphics Card #GV-IA380GAMING OC-6GD<br> Product Id: 14.03.018.399,https://www.ryans.com/storage/products/small/gigabyte-intel-arc-a380-gaming-oc-6g-6gb-gddr6-11698491067.webp,"[{'feature': 'Chipset - Intel'}, {'feature': 'Capacity (GB/TB) - 6GB'}, {'feature': 'Graphics Resolution Max. - 7680x4320'}, {'feature': 'VGA Port - No'}, {'feature': 'HDMI Port - 2'}, {'feature': 'Display Port - 2'}, {'feature': 'Multi Display Capability - Quad Display'}, {'feature': 'Body Color - Black & Grey'}]","Tk
                                                    20,200",https://www.ryans.com/gigabyte-intel-arc-a380-gaming-oc-6g-6gb-gddr6-graphics-card
Gigabyte B760M GAMING PLUS (Wi-Fi 6) DDR4 Intel Motherboard<br> Product Id: 02.01.018.546,https://www.ryans.com/storage/products/small/gigabyte-b760m-gaming-plus-wi-fi-6-ddr4-intel-11730366885.webp,"[{'feature': 'Chipset - Intel B760'}, {'feature': 'Sockets Supported - LGA1700'}, {'feature': 'Supported CPU - Support for the 14th, 13th, and 12th Generation Intel Core, Pentium Gold and Celeron Processors'}, {'feature': 'Generation - 12th/13th/14th'}, {'feature': 'Memory Slot - 4'}, {'feature': 'Memory Max. - 128GB'}, {'feature': 'Back-Connect Design - No'}, {'feature': 'Body Color - Grey'}]","Tk
                                                    20,200",https://www.ryans.com/gigabyte-b760m-gaming-plus-wi-fi-6-ddr4-intel-motherboard
Asus TUF Gaming GT502 Horizon Mid Tower Black (Tempered Glass) ATX Gaming Casing<br> Product Id: 07.02.006.21,https://www.ryans.com/storage/products/small/asus-tuf-gaming-gt502-horizon-mid-tower-black-11746706488.webp,"[{'feature': 'Case Type - Mid Tower'}, {'feature': 'Optical Drive Bay - No'}, {'feature': 'Cooling Fan (Built-In) - No'}, {'feature': 'Lighting Fan - No'}, {'feature': 'Power Supply (Built-In) - No'}, {'feature': 'Back-Connect Supported - No'}, {'feature': 'Color - Black'}]","Tk
                                                    20,200                                                     (Estimated)",https://www.ryans.com/asus-tuf-gaming-gt502-horizon-mid-tower-atx-gaming-casing
Corsair iCUE H100i ELITE CAPELLIX XT 240mm White Liquid CPU Cooler #CW-9060072-WW<br> Product Id: 55.02.470.144,https://www.ryans.com/storage/products/small/corsair-icue-h100i-elite-capellix-xt-240mm-white-11687520819.webp,"[{'feature': 'Cooler Type - Liquid CPU Cooler'}, {'feature': 'Fan Size (Height) - 120mm'}, {'feature': 'Fan Speed - 2400 RPM'}, {'feature': 'LED Color - RGB'}, {'feature': 'Supported Socket - Intel - LGA1700/ LGA1200/ LGA1150/ LGA1151/ LGA1156/ LGA2011/ LGA2066, AMD - AM5/ AM4/ sTR4'}, {'feature': 'Body Color - White'}]","Tk
                                                    20,400",https://www.ryans.com/corsair-icue-h100i-elite-capellix-xt-240mm-white-liquid-cpu-cooler
Corsair SF-L Series SF850L 850W PG5 SFX Fully Moduler Power Supply #CP-9020245-UK<br> Product Id: 55.01.470.160,https://www.ryans.com/storage/products/small/corsair-sf-l-series-sf850l-850w-sfx-fully-moduler-11694083188.webp,"[{'feature': 'PSU Category - Full Modular'}, {'feature': 'Type - ATX12V'}, {'feature': 'Maximum Power - 850 Watt'}, {'feature': 'Efficiency - 90% Efficiency'}, {'feature': 'Efficiency Rating - 80 Plus Gold'}, {'feature': 'Color - Black'}, {'feature': 'Warranty - 7 Year'}]","Tk
                                                    20,400",https://www.ryans.com/corsair-sf-l-series-sf850l-850w-sfx-fully-moduler-power-supply
Kingston KC3000 2TB M.2 2280 PCIe 4 NVMe Internal SSD #SKC3000D/2048G<br> Product Id: 04.02.026.48,https://www.ryans.com/storage/products/small/kingston-kc3000-2tb-m2-2280-pcie-4-nvme-internal-11722429902.webp,"[{'feature': 'Type - Internal SDD'}, {'feature': 'Storage - 2TB'}, {'feature': 'Form Factor (Inch) - M.2 2280'}, {'feature': 'Interface(s) - NVMe PCIe Gen4 x4'}, {'feature': 'Read Speed (Max.) - 7000MB/s'}, {'feature': 'Write Speed (Max.) - 7000MB/s'}, {'feature': 'Color - Black'}]","Tk
                                                    20,400",https://www.ryans.com/kingston-kc3000-2tb-internal-ssd
Transcend 48GB DDR5 5600MHz UDIMM Desktop RAM #JM5600ALE-48G<br> Product Id: 03.01.047.76,https://www.ryans.com/storage/products/small/transcend-48gb-ddr5-5600mhz-udimm-desktop-ram-11728477929.webp,"[{'feature': 'Capacity (GB/TB) - 48GB'}, {'feature': 'RAM Type - DDR5'}, {'feature': 'Bus Speed(MHz) - 5600MHz'}, {'feature': 'Number of Pin - 288 Pin'}, {'feature': 'CAS Latency - CL46'}, {'feature': 'LED Lighting - No'}, {'feature': 'Color - Green'}]","Tk
                                                    20,400",https://www.ryans.com/transcend-48gb-ddr5-5600mhz-udimm-desktop-ram
